sample_id,category,original_label,expert1,expert2,agreement
removed_0001,transitional,fall,non-fall,non-fall,True
removed_0002,occupational,fall,fall,fall,True
removed_0003,theatrical,non-fall,non-fall,fall,False
removed_0004,occupational,fall,non-fall,non-fall,True
removed_0005,transitional,non-fall,fall,fall,True
removed_0006,occupational,non-fall,non-fall,non-fall,True
removed_0007,theatrical,fall,fall,fall,True
removed_0008,occupational,fall,fall,fall,True
removed_0009,occupational,non-fall,fall,non-fall,False
removed_0010,theatrical,fall,fall,fall,True
removed_0011,theatrical,fall,non-fall,non-fall,True
removed_0012,transitional,non-fall,fall,fall,True
removed_0013,transitional,non-fall,fall,non-fall,False
removed_0014,transitional,fall,non-fall,non-fall,True
removed_0015,transitional,fall,fall,fall,True
removed_0016,theatrical,fall,non-fall,non-fall,True
removed_0017,theatrical,non-fall,non-fall,non-fall,True
removed_0018,theatrical,fall,fall,fall,True
removed_0019,occupational,non-fall,fall,fall,True
removed_0020,theatrical,fall,non-fall,non-fall,True
removed_0021,occupational,non-fall,non-fall,non-fall,True
removed_0022,theatrical,fall,fall,non-fall,False
removed_0023,transitional,fall,fall,fall,True
removed_0024,occupational,fall,non-fall,non-fall,True
removed_0025,theatrical,non-fall,non-fall,fall,False
removed_0026,transitional,fall,non-fall,non-fall,True
removed_0027,transitional,fall,fall,fall,True
removed_0028,occupational,non-fall,fall,non-fall,False
removed_0029,transitional,fall,fall,non-fall,False
removed_0030,occupational,fall,non-fall,non-fall,True
removed_0031,transitional,non-fall,non-fall,non-fall,True
removed_0032,transitional,fall,non-fall,non-fall,True
removed_0033,transitional,fall,non-fall,non-fall,True
removed_0034,theatrical,non-fall,fall,fall,True
removed_0035,theatrical,non-fall,non-fall,non-fall,True
removed_0036,theatrical,fall,fall,fall,True
removed_0037,theatrical,fall,non-fall,non-fall,True
removed_0038,occupational,fall,non-fall,non-fall,True
removed_0039,theatrical,non-fall,non-fall,fall,False
removed_0040,occupational,fall,non-fall,non-fall,True
removed_0041,theatrical,non-fall,fall,fall,True
removed_0042,occupational,non-fall,non-fall,non-fall,True
removed_0043,theatrical,non-fall,non-fall,non-fall,True
removed_0044,transitional,fall,non-fall,fall,False
removed_0045,theatrical,fall,non-fall,non-fall,True
removed_0046,theatrical,non-fall,fall,fall,True
removed_0047,transitional,fall,non-fall,non-fall,True
removed_0048,theatrical,non-fall,non-fall,non-fall,True
removed_0049,theatrical,fall,non-fall,non-fall,True
removed_0050,theatrical,non-fall,non-fall,non-fall,True
removed_0051,occupational,non-fall,fall,fall,True
removed_0052,transitional,non-fall,fall,fall,True
removed_0053,theatrical,non-fall,non-fall,non-fall,True
removed_0054,theatrical,fall,non-fall,non-fall,True
removed_0055,occupational,non-fall,non-fall,non-fall,True
removed_0056,theatrical,non-fall,fall,fall,True
removed_0057,occupational,fall,fall,fall,True
removed_0058,transitional,non-fall,fall,fall,True
removed_0059,occupational,fall,non-fall,non-fall,True
removed_0060,theatrical,fall,fall,fall,True
removed_0061,occupational,fall,non-fall,non-fall,True
removed_0062,theatrical,fall,non-fall,non-fall,True
removed_0063,theatrical,fall,non-fall,non-fall,True
removed_0064,occupational,fall,fall,fall,True
removed_0065,occupational,fall,fall,fall,True
removed_0066,transitional,fall,fall,fall,True
removed_0067,transitional,non-fall,fall,fall,True
removed_0068,theatrical,fall,non-fall,non-fall,True
removed_0069,transitional,non-fall,non-fall,fall,False
removed_0070,transitional,non-fall,non-fall,non-fall,True
removed_0071,transitional,non-fall,fall,fall,True
removed_0072,occupational,non-fall,non-fall,non-fall,True
removed_0073,transitional,fall,non-fall,non-fall,True
removed_0074,theatrical,non-fall,fall,fall,True
removed_0075,theatrical,fall,non-fall,non-fall,True
removed_0076,occupational,non-fall,non-fall,non-fall,True
removed_0077,occupational,fall,fall,fall,True
removed_0078,occupational,non-fall,fall,fall,True
removed_0079,theatrical,fall,non-fall,non-fall,True
removed_0080,transitional,non-fall,non-fall,non-fall,True
