sample_id,expert1_category,expert2_category,agreed
annotated_0001,theatrical,theatrical,True
annotated_0002,theatrical,theatrical,True
annotated_0003,occupational,occupational,True
annotated_0004,occupational,occupational,True
annotated_0005,transitional,transitional,True
annotated_0006,transitional,theatrical,False
annotated_0007,transitional,transitional,True
annotated_0008,transitional,transitional,True
annotated_0009,occupational,occupational,True
annotated_0010,theatrical,theatrical,True
annotated_0011,occupational,occupational,True
annotated_0012,theatrical,theatrical,True
annotated_0013,occupational,occupational,True
annotated_0014,theatrical,theatrical,True
annotated_0015,transitional,transitional,True
annotated_0016,transitional,transitional,True
annotated_0017,occupational,occupational,True
annotated_0018,transitional,transitional,True
annotated_0019,occupational,occupational,True
annotated_0020,theatrical,theatrical,True
annotated_0021,transitional,transitional,True
annotated_0022,theatrical,theatrical,True
annotated_0023,theatrical,theatrical,True
annotated_0024,transitional,transitional,True
annotated_0025,occupational,occupational,True
annotated_0026,transitional,transitional,True
annotated_0027,theatrical,theatrical,True
annotated_0028,occupational,transitional,False
annotated_0029,theatrical,theatrical,True
annotated_0030,transitional,occupational,False
annotated_0031,occupational,occupational,True
annotated_0032,transitional,transitional,True
annotated_0033,theatrical,theatrical,True
annotated_0034,transitional,transitional,True
annotated_0035,occupational,occupational,True
annotated_0036,occupational,occupational,True
annotated_0037,transitional,theatrical,False
annotated_0038,occupational,occupational,True
annotated_0039,theatrical,theatrical,True
annotated_0040,transitional,transitional,True
annotated_0041,occupational,occupational,True
annotated_0042,theatrical,theatrical,True
annotated_0043,occupational,transitional,False
annotated_0044,theatrical,theatrical,True
annotated_0045,occupational,occupational,True
annotated_0046,theatrical,theatrical,True
annotated_0047,theatrical,theatrical,True
annotated_0048,theatrical,theatrical,True
annotated_0049,transitional,transitional,True
annotated_0050,theatrical,theatrical,True
annotated_0051,occupational,transitional,False
annotated_0052,transitional,transitional,True
annotated_0053,transitional,transitional,True
annotated_0054,transitional,transitional,True
annotated_0055,theatrical,theatrical,True
annotated_0056,theatrical,theatrical,True
annotated_0057,transitional,occupational,False
annotated_0058,theatrical,theatrical,True
annotated_0059,theatrical,theatrical,True
annotated_0060,theatrical,theatrical,True
annotated_0061,transitional,transitional,True
annotated_0062,occupational,occupational,True
annotated_0063,occupational,occupational,True
annotated_0064,theatrical,theatrical,True
annotated_0065,transitional,transitional,True
annotated_0066,theatrical,theatrical,True
annotated_0067,theatrical,theatrical,True
annotated_0068,theatrical,theatrical,True
annotated_0069,theatrical,theatrical,True
annotated_0070,theatrical,theatrical,True
annotated_0071,occupational,occupational,True
annotated_0072,transitional,transitional,True
annotated_0073,transitional,transitional,True
annotated_0074,occupational,occupational,True
annotated_0075,theatrical,theatrical,True
annotated_0076,occupational,occupational,True
annotated_0077,theatrical,theatrical,True
annotated_0078,theatrical,theatrical,True
annotated_0079,transitional,transitional,True
annotated_0080,theatrical,theatrical,True
annotated_0081,transitional,transitional,True
annotated_0082,theatrical,theatrical,True
annotated_0083,transitional,transitional,True
annotated_0084,transitional,transitional,True
annotated_0085,transitional,transitional,True
annotated_0086,transitional,transitional,True
annotated_0087,theatrical,theatrical,True
annotated_0088,theatrical,theatrical,True
annotated_0089,occupational,occupational,True
annotated_0090,theatrical,theatrical,True
annotated_0091,theatrical,theatrical,True
annotated_0092,occupational,transitional,False
annotated_0093,transitional,transitional,True
annotated_0094,theatrical,theatrical,True
annotated_0095,theatrical,theatrical,True
annotated_0096,theatrical,theatrical,True
annotated_0097,occupational,occupational,True
annotated_0098,occupational,occupational,True
